Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
HPC	HPC_Q100	0.2	MDUAL	132.37	6.0	9.0	45	284	gaussian(2)
FC	FC_Q100	0.2	SOP	10034.81	73.0	76.0	132	450	gaussian(2)
FC	FC_Q100	0.2	pMCSKY	10580.66	37.0	38.0	132	450	gaussian(2)
FC	FC_Q100	0.2	MDUAL	626.42	12.0	15.0	132	450	gaussian(2)
gaussian(2)
STK	STK_Q100	0.2	SOP	4107.30	61.0	67.0	12	132	gaussian(2)
STK	STK_Q100	0.2	pMCSKY	2600.31	18.0	22.0	12	132	gaussian(2)
STK	STK_Q100	0.2	MDUAL	9.48	2.0	6.0	12	132	gaussian(2)
GAS	GAS_Q100	0.2	SOP	10028.36	90.0	112.0	6	16	gaussian(2)
GAS	GAS_Q100	0.2	pMCSKY	10100.13	51.0	54.0	6	16	gaussian(2)
GAS	GAS_Q100	0.2	MDUAL	239.42	6.0	9.0	6	16	gaussian(2)
EM	EM_Q100	0.2	SOP	14986.24	109.0	112.0	0	0	gaussian(2)
EM	EM_Q100	0.2	pMCSKY	14953.16	59.0	60.0	0	0	gaussian(2)
EM	EM_Q100	0.2	MDUAL	757.12	10.0	12.0	0	0	gaussian(2)
TAO	TAO_Q100	0.2	SOP	6427.33	90.0	96.0	47	962	gaussian(2)
TAO	TAO_Q100	0.2	pMCSKY	4913.96	36.0	41.0	47	962	gaussian(2)
TAO	TAO_Q100	0.2	MDUAL	28.98	2.0	7.0	47	962	gaussian(2)
HPC	HPC_Q100	0.2	SOP	3693.77	62.0	76.0	56	815	gaussian(2)
HPC	HPC_Q100	0.2	pMCSKY	1606.10	14.0	17.0	56	815	gaussian(2)
HPC	HPC_Q100	0.2	MDUAL	344.32	6.0	10.0	56	815	gaussian(2)
FC	FC_Q100	0.2	SOP	10150.89	72.0	79.0	85	368	gaussian(2)
FC	FC_Q100	0.2	pMCSKY	10711.70	36.0	38.0	85	368	gaussian(2)
