Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
HPC	HPC_Q100	0.2	pMCSKY	4527.51	47.0	50.0	147	487	exponential(4)
HPC	HPC_Q100	0.2	MDUAL	533.75	9.0	13.0	147	487	exponential(4)
exponential(4)
exponential(4)
exponential(4)
TAO	TAO_Q100	0.2	SOP	30775.91	262.0	267.0	151	684	exponential(8)
TAO	TAO_Q100	0.2	pMCSKY	28905.12	194.0	196.0	151	684	exponential(8)
TAO	TAO_Q100	0.2	MDUAL	207.65	6.0	11.0	151	684	exponential(8)
HPC	HPC_Q100	0.2	SOP	10098.10	165.0	169.0	77	147	exponential(8)
HPC	HPC_Q100	0.2	pMCSKY	4341.16	46.0	49.0	77	147	exponential(8)
HPC	HPC_Q100	0.2	MDUAL	343.65	9.0	14.0	77	147	exponential(8)
exponential(8)
TAO	TAO_Q100	0.2	SOP	31596.09	262.0	263.0	183	994	exponential(8)
TAO	TAO_Q100	0.2	pMCSKY	29606.79	193.0	195.0	183	994	exponential(8)
TAO	TAO_Q100	0.2	MDUAL	195.08	6.0	8.0	183	994	exponential(8)
HPC	HPC_Q100	0.2	SOP	10264.33	170.0	173.0	91	323	exponential(8)
HPC	HPC_Q100	0.2	pMCSKY	4390.52	47.0	50.0	91	323	exponential(8)
HPC	HPC_Q100	0.2	MDUAL	387.57	9.0	13.0	91	323	exponential(8)
exponential(8)
TAO	TAO_Q100	0.2	SOP	32075.66	267.0	268.0	188	1234	exponential(8)
TAO	TAO_Q100	0.2	pMCSKY	29892.54	198.0	198.0	188	1234	exponential(8)
TAO	TAO_Q100	0.2	MDUAL	156.56	5.0	8.0	188	1234	exponential(8)
HPC	HPC_Q100	0.2	SOP	10102.64	174.0	178.0	179	517	exponential(8)
HPC	HPC_Q100	0.2	pMCSKY	4234.18	46.0	49.0	179	517	exponential(8)
HPC	HPC_Q100	0.2	MDUAL	383.98	9.0	13.0	179	517	exponential(8)
exponential(8)
TAO	TAO_Q100	0.2	SOP	29967.54	248.0	252.0	185	1227	exponential(8)
TAO	TAO_Q100	0.2	pMCSKY	27807.64	180.0	182.0	185	1227	exponential(8)
TAO	TAO_Q100	0.2	MDUAL	139.09	5.0	9.0	185	1227	exponential(8)
HPC	HPC_Q100	0.2	SOP	10179.73	171.0	175.0	107	408	exponential(8)
HPC	HPC_Q100	0.2	pMCSKY	4304.54	45.0	50.0	107	408	exponential(8)
HPC	HPC_Q100	0.2	MDUAL	410.49	10.0	14.0	107	408	exponential(8)
exponential(8)
TAO	TAO_Q100	0.2	SOP	31178.48	259.0	261.0	83	469	exponential(8)
TAO	TAO_Q100	0.2	pMCSKY	29091.44	191.0	191.0	83	469	exponential(8)
TAO	TAO_Q100	0.2	MDUAL	102.12	5.0	8.0	83	469	exponential(8)
HPC	HPC_Q100	0.2	SOP	10467.76	167.0	171.0	104	397	exponential(8)
HPC	HPC_Q100	0.2	pMCSKY	4049.01	43.0	45.0	104	397	exponential(8)
HPC	HPC_Q100	0.2	MDUAL	391.94	9.0	13.0	104	397	exponential(8)
exponential(8)
