Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
FC	FC_Q100	0.2	pMCSKY	9317.40	44.0	45.0	215	733	uniform(5)
FC	FC_Q100	0.2	MDUAL	1320.40	10.0	12.0	215	733	uniform(5)
uniform(5)
STK	STK_Q100	0.2	SOP	3431.34	59.0	64.0	99	545	uniform(5)
STK	STK_Q100	0.2	pMCSKY	3233.58	29.0	32.0	99	545	uniform(5)
STK	STK_Q100	0.2	MDUAL	32.47	2.0	6.0	99	545	uniform(5)
GAS	GAS_Q100	0.2	SOP	7203.82	90.0	93.0	8	31	uniform(5)
GAS	GAS_Q100	0.2	pMCSKY	7144.02	62.0	62.0	8	31	uniform(5)
GAS	GAS_Q100	0.2	MDUAL	124.43	3.0	5.0	8	31	uniform(5)
EM	EM_Q100	0.2	SOP	12046.37	97.0	102.0	523	995	uniform(5)
EM	EM_Q100	0.2	pMCSKY	12029.80	69.0	69.0	523	995	uniform(5)
EM	EM_Q100	0.2	MDUAL	1399.53	8.0	10.0	523	995	uniform(5)
TAO	TAO_Q100	0.2	SOP	4730.28	78.0	82.0	83	675	uniform(5)
TAO	TAO_Q100	0.2	pMCSKY	4552.81	49.0	51.0	83	675	uniform(5)
TAO	TAO_Q100	0.2	MDUAL	43.57	2.0	8.0	83	675	uniform(5)
HPC	HPC_Q100	0.2	SOP	2870.68	55.0	67.0	76	714	uniform(5)
HPC	HPC_Q100	0.2	pMCSKY	2649.79	26.0	30.0	76	714	uniform(5)
HPC	HPC_Q100	0.2	MDUAL	199.50	4.0	10.0	76	714	uniform(5)
FC	FC_Q100	0.2	SOP	10011.07	73.0	77.0	352	1177	uniform(5)
FC	FC_Q100	0.2	pMCSKY	10088.85	45.0	47.0	352	1177	uniform(5)
FC	FC_Q100	0.2	MDUAL	1131.71	10.0	12.0	352	1177	uniform(5)
uniform(5)
GAS	GAS_Q100	0.2	SOP	41328.15	350.0	420.0	82	338	uniform(10)
GAS	GAS_Q100	0.2	pMCSKY	41419.97	288.0	292.0	82	338	uniform(10)
GAS	GAS_Q100	0.2	MDUAL	1048.46	15.0	21.0	82	338	uniform(10)
HPC	HPC_Q100	0.2	SOP	9913.02	178.0	181.0	191	485	uniform(10)
HPC	HPC_Q100	0.2	pMCSKY	9386.70	116.0	120.0	191	485	uniform(10)
HPC	HPC_Q100	0.2	MDUAL	337.59	9.0	17.0	191	485	uniform(10)
uniform(10)
GAS	GAS_Q100	0.2	SOP	40678.45	354.0	404.0	50	366	uniform(10)
GAS	GAS_Q100	0.2	pMCSKY	40867.03	292.0	296.0	50	366	uniform(10)
GAS	GAS_Q100	0.2	MDUAL	736.90	14.0	22.0	50	366	uniform(10)
HPC	HPC_Q100	0.2	SOP	10034.47	182.0	186.0	148	475	uniform(10)
HPC	HPC_Q100	0.2	pMCSKY	9469.49	120.0	121.0	148	475	uniform(10)
HPC	HPC_Q100	0.2	MDUAL	467.24	9.0	15.0	148	475	uniform(10)
uniform(10)
GAS	GAS_Q100	0.2	SOP	40975.01	350.0	433.0	30	132	uniform(10)
GAS	GAS_Q100	0.2	pMCSKY	41305.02	292.0	296.0	30	132	uniform(10)
GAS	GAS_Q100	0.2	MDUAL	614.66	14.0	24.0	30	132	uniform(10)
HPC	HPC_Q100	0.2	SOP	9376.75	171.0	175.0	151	408	uniform(10)
HPC	HPC_Q100	0.2	pMCSKY	9120.11	112.0	117.0	151	408	uniform(10)
HPC	HPC_Q100	0.2	MDUAL	322.61	9.0	14.0	151	408	uniform(10)
uniform(10)
GAS	GAS_Q100	0.2	SOP	40279.69	359.0	445.0	40	264	uniform(10)
GAS	GAS_Q100	0.2	pMCSKY	40220.42	297.0	302.0	40	264	uniform(10)
GAS	GAS_Q100	0.2	MDUAL	568.44	14.0	21.0	40	264	uniform(10)
HPC	HPC_Q100	0.2	SOP	8202.17	159.0	168.0	160	442	uniform(10)
HPC	HPC_Q100	0.2	pMCSKY	7763.63	99.0	101.0	160	442	uniform(10)
HPC	HPC_Q100	0.2	MDUAL	265.01	7.0	14.0	160	442	uniform(10)
uniform(10)
GAS	GAS_Q100	0.2	SOP	39429.75	361.0	409.0	59	279	uniform(10)
GAS	GAS_Q100	0.2	pMCSKY	41986.44	300.0	305.0	59	279	uniform(10)
GAS	GAS_Q100	0.2	MDUAL	953.29	19.0	24.0	59	279	uniform(10)
HPC	HPC_Q100	0.2	SOP	9653.68	171.0	175.0	153	356	uniform(10)
HPC	HPC_Q100	0.2	pMCSKY	9362.02	99.0	103.0	153	356	uniform(10)
HPC	HPC_Q100	0.2	MDUAL	324.84	9.0	15.0	153	356	uniform(10)
uniform(10)
STK	STK_Q100	0.2	SOP	19936.32	192.0	207.0	63	391	uniform(10)
STK	STK_Q100	0.2	pMCSKY	19038.20	133.0	137.0	63	391	uniform(10)
STK	STK_Q100	0.2	MDUAL	23.98	4.0	9.0	63	391	uniform(10)
FC	FC_Q100	0.2	SOP	43926.32	250.0	267.0	441	892	uniform(10)
FC	FC_Q100	0.2	pMCSKY	42431.19	194.0	200.0	441	892	uniform(10)
FC	FC_Q100	0.2	MDUAL	6721.42	21.0	31.0	441	892	uniform(10)
uniform(10)
STK	STK_Q100	0.2	SOP	21183.69	189.0	211.0	126	560	uniform(10)
STK	STK_Q100	0.2	pMCSKY	19770.43	129.0	137.0	126	560	uniform(10)
STK	STK_Q100	0.2	MDUAL	40.81	4.0	13.0	126	560	uniform(10)
FC	FC_Q100	0.2	SOP	43489.46	236.0	269.0	114	134	uniform(10)
FC	FC_Q100	0.2	pMCSKY	42322.28	180.0	189.0	114	134	uniform(10)
FC	FC_Q100	0.2	MDUAL	3281.97	21.0	31.0	114	134	uniform(10)
uniform(10)
STK	STK_Q100	0.2	SOP	20579.30	186.0	207.0	151	572	uniform(10)
STK	STK_Q100	0.2	pMCSKY	19126.54	128.0	137.0	151	572	uniform(10)
STK	STK_Q100	0.2	MDUAL	42.31	4.0	14.0	151	572	uniform(10)
FC	FC_Q100	0.2	SOP	44688.12	252.0	267.0	1036	1445	uniform(10)
FC	FC_Q100	0.2	pMCSKY	43365.13	196.0	206.0	1036	1445	uniform(10)
FC	FC_Q100	0.2	MDUAL	4441.28	21.0	39.0	1036	1445	uniform(10)
uniform(10)
STK	STK_Q100	0.2	SOP	19739.30	186.0	208.0	60	393	uniform(10)
STK	STK_Q100	0.2	pMCSKY	19146.48	128.0	138.0	60	393	uniform(10)
STK	STK_Q100	0.2	MDUAL	31.34	4.0	16.0	60	393	uniform(10)
FC	FC_Q100	0.2	SOP	45157.69	229.0	268.0	344	652	uniform(10)
