Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ
STK	STK_Q1	0.2	MDUAL	0.48	4.0	42.0	7	7
STK	STK_Q10	0.2	MDUAL	3.94	4.0	43.0	24	33
STK	STK_Q100	0.2	MDUAL	22.47	4.0	42.0	84	277
STK	STK_Q1000	0.2	MDUAL	138.84	5.0	44.0	251	2751
GAS	GAS_Q1	0.2	MDUAL	15.96	7.9	46.0	0	0
GAS	GAS_Q10	0.2	MDUAL	75.23	11.3	60.0	0	1
GAS	GAS_Q100	0.2	MDUAL	478.25	17.7	61.0	10	19
GAS	GAS_Q1000	0.2	MDUAL	3096.59	21.2	63.0	47	191
STK	STK_Q1	0.2	MDUAL	0.58	4.0	42.0	7	7
STK	STK_Q10	0.2	MDUAL	3.32	4.0	42.0	19	27
STK	STK_Q100	0.2	MDUAL	21.82	4.0	43.0	88	269
STK	STK_Q1000	0.2	MDUAL	142.30	5.0	43.0	250	2759
GAS	GAS_Q1	0.2	MDUAL	16.54	7.8	46.0	0	0
GAS	GAS_Q10	0.2	MDUAL	67.06	11.3	61.0	0	0
GAS	GAS_Q100	0.2	MDUAL	494.04	17.8	61.0	14	22
GAS	GAS_Q1000	0.2	MDUAL	3123.74	21.7	63.0	51	234
EM	EM_Q1	0.2	SOP	55.07	8.5	49.0	0	0
EM	EM_Q1	0.2	pMCSKY	59.48	7.0	86.0	0	0
EM	EM_Q1	0.2	MDUAL	24.16	14.0	111.0	0	0
EM	EM_Q10	0.2	SOP	6010.46	185.3	295.0	0	0
EM	EM_Q10	0.2	pMCSKY	8077.42	167.1	272.0	0	0
EM	EM_Q10	0.2	MDUAL	528.02	13.6	92.0	0	0
EM	EM_Q100	0.2	SOP	49298.19	667.5	776.0	67	67
EM	EM_Q100	0.2	pMCSKY	51249.75	610.8	718.0	67	67
EM	EM_Q100	0.2	MDUAL	2095.38	16.4	93.0	67	67
EM	EM_Q1000	0.2	pMCSKY	504969.17	719.0	756.0	712	3353
EM	EM_Q1000	0.2	MDUAL	7127.56	18.0	76.0	712	3353
EM	EM_Q1000	0.2	SOP	586855.74	1256.0	1311.0	712	3353
EM	EM_Q1000	0.2	pMCSKY	511615.08	720.0	795.0	822	4725
EM	EM_Q1000	0.2	MDUAL	8023.71	18.0	95.0	822	4725
EM	EM_Q1000	0.2	SOP	569232.30	1257.0	1327.0	822	4725
EM	EM_Q1000	0.2	pMCSKY	507304.34	721.0	795.0	902	3334
EM	EM_Q1000	0.2	MDUAL	9661.24	18.0	95.0	952	3384
EM	EM_Q1000	0.2	SOP	560429.24	1258.0	1336.0	952	3384
EM	EM_Q1000	0.2	pMCSKY	515379.83	721.0	798.0	771	3902
EM	EM_Q1000	0.2	MDUAL	9340.01	18.0	120.0	771	3902
EM	EM_Q1000	0.2	SOP	570972.26	1258.0	1336.0	771	3902
EM	EM_Q1000	0.2	pMCSKY	513754.43	720.0	799.0	733	4271
EM	EM_Q1000	0.2	MDUAL	8063.93	17.0	97.0	733	4271
EM	EM_Q1000	0.2	SOP	571612.84	1257.0	1337.0	733	4271
